Name	ScopeViewControl	
File	F:\_LTR700\TempMeas\Scope YT Project.svd	
StartRecord	131572023434270000	08 December 2017	12:25:43
EndRecord	131572026024670000	08 December 2017	12:30:02


Name	T_Ref	Name	T_Cels	
NetId	172.18.136.182.1.1	NetId	172.18.136.182.1.1	
Port	851	Port	851	
SampleTime[ms]	10	SampleTime[ms]	10	
SymbolBased	True	SymbolBased	True	
SymbolName	Temperatures.T_Ref	SymbolName	Temperatures.T_Act	
SymbolComment		SymbolComment		
IndexGroup	16448	IndexGroup	16448	
IndexOffset	513864	IndexOffset	513868	
Data-Type	REAL32	Data-Type	REAL32	
VariableSize	4	VariableSize	4	
Offset	0	Offset	0	
ScaleFactor	1	ScaleFactor	1	
BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	

8020	50	8020	34.5543976	
8030	50	8030	34.5543976	
8040	50	8040	34.5543976	
8050	50	8050	34.5543976	
8060	50	8060	34.5543976	
8070	50	8070	34.5543976	
8080	50	8080	34.5543976	
8090	50	8090	34.5543976	
8100	50	8100	34.5543976	
8110	50	8110	34.5543976	
8120	50	8120	34.5833321	
8130	50	8130	34.5833321	
8140	50	8140	34.5833321	
8150	50	8150	34.6122665	
8160	50	8160	34.5833321	
8170	50	8170	34.6122665	
8180	50	8180	34.6122665	
8190	50	8190	34.6122665	
8200	50	8200	34.6122665	
8210	50	8210	34.6122665	
8220	50	8220	34.6122665	
8230	50	8230	34.6122665	
8240	50	8240	34.6122665	
8250	50	8250	34.6122665	
8260	50	8260	34.6412048	
8270	50	8270	34.6412048	
8280	50	8280	34.6412048	
8290	50	8290	34.6412048	
8300	50	8300	34.6412048	
8310	50	8310	34.67014	
8320	50	8320	34.67014	
